id,name,price,availability
102,Телевизор Витязь 43LF0212,"789,00",В наличии
103,Телевизор Samsung QE43LS03AAUXRU,"3 790,00",В наличии
104,Телевизор Samsung QE75Q80AAUXRU,"8 990,00",В наличии
105,Телевизор Kivi 32H540LB,"649,00",В наличии
106,Телевизор Samsung QE50LS01TBUXRU,"3 182,00",В наличии
107,Телевизор Samsung QE43LS01TAUXRU,"3 490,00",В наличии
108,Телевизор Samsung UE50AU7002UXRU,"1 999,00",В наличии
109,Телевизор Samsung UE65AU8000UXRU,"3 750,00",В наличии
110,Телевизор Kivi 65U740LB,"3 099,00",В наличии
111,Телевизор POLAR P40L33T2CSM,"1 049,00",В наличии
112,Телевизор POLAR Line 32PL51STC-SM,"761,28",В наличии
113,Телевизор Thomson 65UG6400,"2 500,91",В наличии
114,Телевизор Samsung UE75AU7100UXRU,"4 990,00",В наличии
115,Телевизор Samsung UE65AU7570UXRU,"3 490,00",В наличии
116,Телевизор Samsung QE55QN90AAUXRU,"5 990,00",В наличии
117,Телевизор POLAR P24L24T2C,"514,00",В наличии
118,Телевизор POLAR P39L21T2CSM,"899,00",В наличии
119,Телевизор LG 60UQ80006LB,"3 199,00",В наличии
120,Телевизор Samsung QE50LS03AAUXRU,"4 224,00",В наличии
121,Телевизор Philips 43PUS7956/60,"1 999,00",В наличии
122,Телевизор Samsung QE55QN85AAUXRU,"5 136,00",В наличии
123,Телевизор Samsung QE65QN90AAUXRU,"7 990,00",В наличии
124,Телевизор POLAR Line 32PL14TC,"649,00",В наличии
125,Телевизор Olto 32T20H,"529,00",В наличии
126,Телевизор POLAR Line 55PU52TC-SM,"1 699,00",В наличии
127,Телевизор Samsung QE43LS05TAUXRU,"3 960,00",В наличии
128,Телевизор Sony KD-65XG7096BR2,"3 699,00",В наличии
129,Телевизор Samsung QE65LS03AAUXRU,"6 376,00",В наличии
130,Телевизор Harper 24R575T,"529,00",В наличии
131,Телевизор Olto 32ST20H,"695,00",В наличии
132,Телевизор POLAR Line 55PU11TC-SM,"2 025,00",В наличии
133,Телевизор Samsung UE58AU7570UXRU,"2 990,00",В наличии
134,Телевизор Samsung UE55AU9070UXRU,"2 999,00",В наличии
